ROCstory,Inhouse Interestingness Average,Inhouse Creativity Average,Crowdsource Interestingness Average,Crowdsource Creativity Average,Total Interestingness Average,Total Creativity Average,Deltascore(Typo),Deltascore(Jumble),Deltascore(Add_negation),UNIEVAL,CTC,GPTscore_Interestingness,GPTscore_Creativity,StoryER,Deltascore(Engaging Plot transformed),Deltascore(Irony_Transformed),Deltascore(Metaphor and Simile Transformed),Deltascore(Pun Transformed),Deltascore(Sensory Description Transformed),Deltascore(Vivid Writing Style Transformed),ICScore(Llama3 70B),ICScore(Llama3 8B),ICScore(Mistral7B),ICScore(Mixtral 8x7B),ICScore(gemma7b)
Fatima graduated high school. She decided to go to college. Her grades were not good in high school. She went to a community college and did well. She transferred to a large university.,1.5,1.75,2,2.25,1.75,2,3.030544,1.607093,0.169116,0.958811,14.88914,2,2,0.186218,0.686398,1.46656,1.038751,1.427457,1.039017,0.798911,0.715305,0.612175,0.660103,0.561757,0.732174
Kara was on a diet. She had lost a lot of weight. Kara's waist was getting smaller. Her clothes weren't fitting anymore. Kara had to buy new clothes.,1.25,1,1.5,1.75,1.375,1.375,2.901079,1.737729,0.211777,0.993383,16.14194,2,2,0.210135,0.412276,1.368349,1.253588,1.392581,1.343697,1.274761,0.866434,0.518369,0.393211,0.273696,0.546474
Samantha lived by herself in a studio apartment. She got a bill in the mail saying her rent would be increased. Her rent would be increased from $800 a month to $1600. Samantha couldn't afford the rent increase. Samantha had to move to a cheaper apartment.,2,2,3,1.75,2.5,1.875,2.76374,1.256544,0.095486,0.994883,22.62742,2,2,0.176689,0.38584,1.109695,0.562102,0.641086,0.617236,0.388372,0.820794,0.809008,0.685585,0.57152,0.848991
James flew for the first time in his life. He was very scared. The plane experienced some turbulence. James panicked and started to scream. A flight attendant had to calm him down.,3.25,2.5,2.75,2.75,3,2.625,3.853103,1.642139,0.069501,0.996004,12.33191,2,2,0.166626,0.4659,1.085167,0.853023,0.839703,0.553492,0.892509,0.595677,0.346435,0.421292,0.34808,0.510182
Ned was drinking one night. He decided to drive home from the bar. He thought he was sober enough to make it home. But Ned had overestimated himself. He crashed into a tree two blocks away from the bar.,4,4,1.75,2,2.875,3,3.702658,1.009142,0.030691,0.990755,17.20003,2,2,0.175835,0.449299,1.076362,0.731059,1.056286,0.282111,0.475679,0.61689,0.599926,0.402132,0.410266,0.621435
Cathy went to the doctor to get her foot checked out. The doctor's examination showed that the foot was broken. Cathy had to drive to the orthopedist's office to get a cast. Cathy found it very hard to driving home with a cast. Once she was home she sat in a chair and didn't move for 5 hours.,2.5,2.75,2.25,3.5,2.375,3.125,2.839139,0.884125,0.06134,0.992984,27.03656,2,2,0.213429,0.182736,1.052616,0.307972,0.723671,0.097038,0.318983,0.950209,0.387092,0.576301,0.442298,0.736065
Ronald needed new shoes. So Ronald went to the shoe store. Ronald looked for the right shoes. He found the right shoes. Ronald got the shoes and bought it.,1,1,1,1.75,1,1.375,3.034828,1.172847,0.220224,0.811912,15.58496,2,1,0.161074,0.023009,1.007169,0.322999,0.912282,0.099025,0.255324,0.742464,0.557386,0.663888,0.708762,1.018503
Every year my in-laws take my family to Disney World. We stay at one of the resorts right on the grounds. We visit the parks and stay late every night. By the end of the week we are all exhausted and ready to go home. But we are always ready to go back when the next year rolls around.,2.25,1.75,1.5,2.25,1.875,2,3.197624,0.860773,0.09231,0.998873,24.18821,2,2,0.176265,0.953403,0.978384,1.047717,1.07976,0.790682,0.839009,0.909169,0.506678,0.454841,0.403123,0.675766
.Sarah suffered from anxiety Her therapist recommended she get a cat. Sarah looked up several likely shelters and visited them. Sarah adopted a cat. Sarah is much less anxious now.,1.75,1.5,3.25,2.75,2.5,2.125,3.341228,1.186762,0.092779,0.995223,13.68422,3,2,0.199645,1.273677,0.933804,0.743476,0.673486,1.262083,0.996098,0.69782,0.423949,0.40628,0.42896,0.55164
Megan was excited for prom. She didn't have a date though. Billy asked Megan if she would like to go to prom with him. She happily accepted his invitation. Billy and Megan went to the prom and had a wonderful time.,2,2.5,3.75,3.5,2.875,3,3.543883,1.43241,0.145069,0.997205,18.80785,2,2,0.167361,0.591401,0.909879,0.994233,1.201413,0.654715,0.871491,0.559686,0.589252,0.38099,0.403529,0.530091
Kelly and her friends went on a trip to Dubai. The girls were so excited. The only problem was the long flight. The girls were on the plane for fifteen hours. They couldn't wait to land.,1.5,1.25,2.25,1.25,1.875,1.25,2.903834,1.946499,0.127333,0.994984,13.13566,2,2,0.170736,0.408372,0.866546,0.777341,0.779503,0.466981,0.708427,0.72141,0.518269,0.363279,0.342222,0.594383
I had been wanting a new dog. My current dog was getting old and needed a companion. I had no idea what I wanted. I decided to go to the animal shelter and look around. While there I fell in love with a puppy and took her home.,2,2.25,4.25,3.25,3.125,2.75,3.372473,1.702114,0.1441,0.99781,18.96865,3,2,0.200982,0.763315,0.861015,0.848967,1.171199,0.827931,0.693758,0.549173,0.316786,0.291483,0.326628,0.492709
The family lives down the road from a park. The kids ask Becky to take them there. Becky takes the kids to park to play. They all have a fun time. They can't wait to go again.,1,1,1.75,2.75,1.375,1.875,2.991221,1.052196,0.105748,0.967671,14.92995,2,2,0.158123,0.300792,0.824109,1.193847,0.818051,0.296498,0.313326,0.506955,0.125562,0.15608,0.154217,0.276021
"Cathy loved to play tennis. However, her serve was terrible. She finally decided to start taking lessons. Her swing started to show improvement. Cathy was glad she was able to hit better.",1.25,1.5,1.5,1.5,1.375,1.5,2.523478,0.490417,0.157311,0.997621,17.76108,2,2,0.179056,1.07756,0.823875,0.774145,0.290779,0.610531,0.655883,0.604918,0.36355,0.372297,0.330259,0.315441
Alex was home sick from school. He awoke to see his Grandma in the kitchen. Alex was happy she came to take care of him. Grandma put Vicks on his chest and gave him ginger ale. Grandma was better than dad at taking care of sick kids.,2.25,2.25,3.5,2.5,2.875,2.375,3.309063,1.545085,0.064727,0.988113,22.24983,2,2,0.170679,0.461947,0.778697,0.606169,1.165732,0.26634,0.240325,0.550723,0.502783,0.382866,0.416128,0.43245
"My niece has a 12-year old daughter, Mary. Mary wanted a pet guinea pig. Her mom bought her two. They had six babies. My niece just bought a huge cage to house the guinea pigs.",2,2.5,2.75,2.75,2.375,2.625,4.018321,1.537543,0.111164,0.998803,19.13447,2,2,0.176604,0.354459,0.771147,0.87229,0.978323,0.010965,0.369036,0.418218,0.276173,0.251742,0.289799,0.317982
I had a task to do. It was very complicated. I could not focus on the task. I drank a cup of coffee to help. I was able to work on the task.,1,1,2.75,3,1.875,2,2.934062,1.792728,0.11252,0.966633,12.0088,1,1,0.165804,0.103583,0.76944,0.8114,0.652805,0.090535,0.002209,0.485116,0.137204,0.13715,0.094562,0.107787
"Crystal is a professional babysitter. One day, she had to watch over a pair of rambunctious toddlers. She turned her back for a moment and the kids made a mess. Frustrated, Crystal quickly cleaned up the mess. When the parents got home, Crystal was exhausted from her day.",3.25,2.25,3.5,3.75,3.375,3,4.105156,1.4744,0.059751,0.995383,27.41712,2,2,0.181442,0.45281,0.721036,0.565366,1.002014,0.547084,0.676101,0.507248,0.399261,0.400959,0.255063,0.282729
"Jane worked hard on the big project at work. She needed, but had no help. She hurried to prepare everything Somehow she managed to finish on time. She was relieved when her boss was impressed by her work.",1.25,1.5,3,1.25,2.125,1.375,2.514323,1.196542,0.106754,0.964168,14.0094,2,2,0.184176,0.835916,0.707217,0.699919,0.261717,0.848874,0.585831,0.557669,0.506631,0.556577,0.502325,0.709682
"Tim's tooth was hurting like crazy. He could barely eat or drink. His dentist took a look around in his mouth. One of his teeth was rotten. Once the tooth was pulled, Tim felt fine.",1.75,1.75,2,2.75,1.875,2.25,2.780243,0.982533,0.122853,0.988544,18.262,2,2,0.171245,0.010563,0.698287,0.021426,1.211308,0.239824,0.183098,0.665606,0.537627,0.34269,0.307583,0.440955
"I wanted to go to the movies, and meet up with my friends. My mother said if I finished my chores, she would drop me off. I started to get ready and before I knew it, it was time to go. My mother said, you're not finished with your choirs. I never went, being so excited to get ready, I didn't finish my chores.",3.25,3.75,3,3.25,3.125,3.5,2.519169,1.336025,0.074445,0.973524,28.28297,2,2,0.179608,0.104553,0.680758,0.316696,0.520931,0.530228,0.56438,0.40952,0.475271,0.340962,0.268727,0.258984
Kelly was excited to get a new handbag. She searched everywhere for a black bag. She was very particular. She finally found a Marc Jacobs bag at Bloomingdales. She immediately picked it up.,1.25,1,2.25,2.5,1.75,1.75,3.851896,1.540656,0.099349,0.97673,15.08762,2,2,0.186734,0.330529,0.630878,0.309375,1.232871,0.19229,0.305365,0.481799,0.603437,0.516406,0.484528,0.419108
"Carlos has always been proud of his thick black hair. Unfortunately, he sees that his hair has started to develop dandruff. Carlos goes to the store to buy a special anti-dandruff shampoo. Gradually the dandruff begins to go away. Carlos can finally be proud of his hair again.",3,3.25,3,3,3,3.125,2.977351,0.164635,0.109879,0.996833,24.19116,2,2,0.191032,0.360857,0.618619,0.712343,0.735378,0.476289,0.314351,0.286742,0.34156,0.303638,0.331228,0.295005
"Holly wanted to go to the beach. On the way, she stopped and picked up her boyfriend. Once there, they found a secluded spot away from kids playing. Her boyfriend put lotion on her back. After two hours of tanning, they left to have lunch.",2.25,2.25,3,2.75,2.625,2.5,3.486539,1.047915,0.125871,0.987323,23.58872,3,2,0.185974,0.145903,0.613698,0.291856,1.017131,0.198809,0.339067,0.826639,0.503512,0.410065,0.372297,0.695621
Shane decided to cook some dinner. He made homemade macaroni and cheese. He loved mixing the melted cheese together. He crumbled some bacon on top. It was his secret recipe and it was delicious!,1,1.5,2.5,3.5,1.75,2.5,2.867297,0.929318,0.14101,0.989703,16.76549,3,2,0.178652,0.790251,0.56105,0.135649,0.540166,0.279276,0.322923,0.574597,0.627424,0.564361,0.610981,0.401513
"Maggie read a story in the news about a boy raised by wolves. She thought it was a very interesting story. Using the internet, Maggie found similar stories of other people too. She spent the next hour learning about different feral children. By the end, Maggie was an expert on the topic.",2.75,2.75,3.5,3.25,3.125,3,2.384796,1.791341,0.123163,0.99307,22.74027,3,3,0.200547,0.00011,0.539208,0.412894,0.465492,0.175878,0.459244,0.323579,0.175258,0.156776,0.247412,0.198348
Annie was shopping with friends. She decided to try to steal some clothes. On her way out of the mall she was caught by security. They banned her from the mall for one year. Annie was so sad but her friends vowed to wait it out with her.,4.75,4.75,4.5,2,4.625,3.375,2.89866,1.065778,0.135624,0.994199,16.9088,2,2,0.168486,0.34478,0.5266,0.029274,0.86428,0.464587,0.440701,0.413257,0.841149,0.343223,0.329302,0.272853
Tina moved into the new apartment complex. She had just finished unpacking when she heard some noise. She then saw a mouse scurrying to hide in the bathroom. Tina promptly called the landlord. The landlord called the exterminators to fumigate the unit.,4,3.75,3,3,3.5,3.375,3.44393,1.108614,0.129842,0.996497,22.30204,2,2,0.178079,0.132135,0.526438,0.646456,0.775274,0.249329,0.014426,0.514377,0.438364,0.306852,0.323833,0.532769
"Kat was excited for Christmas. In the weeks before the holiday, she decorated her house. She shopped for gifts for her loved ones. Kat celebrated Christmas with her family and friends. Kat had a fun and festive holiday.",1.25,1,2.75,3.25,2,2.125,2.638092,1.20126,0.248028,0.998011,18.64754,2,2,0.166898,0.325016,0.526381,0.1145,1.300132,0.165785,0.242972,0.524815,0.487212,0.208923,0.216498,0.521796
May moved with her parents to a new city. May was nervous about making new friends in her neighborhood. One day a girl came over and asked May to play with her. May agreed and they spent the day together. Now May and the girl are best friends and May loves her new home.,1.75,1.5,3.25,2.75,2.5,2.125,3.132556,1.570691,0.076674,0.999334,24.51558,3,2,0.158647,0.405072,0.522984,0.662533,1.000394,0.785706,0.28895,0.317756,0.305409,0.163948,0.218406,0.326274
Leroy had a clever idea. He couldn't afford to practice at the batting park. He bought a t-shirt cannon. Leroy leaned back and wound up with his wiffle ball bat. He swung and knocked a t-shirt into the next room.,3.5,3.5,3.25,3.5,3.375,3.5,2.880666,1.579579,0.047976,0.997861,22.94233,3,4,0.197506,1.09029,0.513588,0.212944,0.077605,0.826155,0.49874,0.40291,0.615563,0.427946,0.385088,0.737179
"Scott and his class were about to graduate high school. To celebrate they had taken a field trip to the coast. Scott was enjoying his trip but was excited to get it over with. Soon, the trip came to an end. Scott saw this as the official close to his high school story.",1.75,1,2.5,2.5,2.125,1.75,2.727163,1.283207,0.104249,0.998521,21.85527,2,2,0.172741,1.028887,0.511754,0.361449,0.263968,0.832662,0.495562,0.460516,0.405046,0.19379,0.125925,0.482639
"He had a craving for chicken. He wanted to try the fast food place he saw. He said he didn't agree with their beliefs. Still, he decided to try it. He ate a grilled chicken sandwich and loved it.",2.75,2.75,4,4,3.375,3.375,2.443755,1.566946,0.062318,0.994458,19.10727,2,2,0.179696,0.404944,0.506434,0.1672,0.027903,0.610689,0.143543,0.473982,0.327521,0.341586,0.348159,0.284978
"Bob was walking to his house. He found some money on the street. He decided to turn it into the police station. After thirty days, no one claimed the money. Bob got to keep the money.",3.5,3,3,2.75,3.25,2.875,4.065976,1.640261,0.201195,0.954982,16.63611,2,2,0.168442,0.135639,0.505433,1.169358,1.204049,0.794519,0.565349,0.668276,0.669468,0.551865,0.386439,0.800797
"Susie went to this new restaurant. She was excited to go. All of the sudden though, her order was late. Susie was rather upset. Susie never wanted to go back.",2,2.5,2.5,3,2.25,2.75,3.373888,1.2704,0.200269,0.27091,16.84998,2,2,0.170076,0.82829,0.502484,0.973384,0.036542,1.011487,0.7133,0.322983,0.241138,0.235158,0.260614,0.246576
Kelsi was nervous to go on her first hot air balloon ride. She got some friends together and they went on the balloon. The balloon inched higher in the air and Kelsi tensed up. The view was amazing from high in the air. Kelsi was happy she went on the ride after all.,2.5,2.75,2.25,3,2.375,2.875,2.634476,1.245381,0.078611,0.992978,23.47719,2.5,2,0.176245,0.135876,0.452625,0.437541,0.207615,0.168839,0.287166,0.449741,0.378889,0.352315,0.325449,0.454015
"Cynthia loved staying indoors, she rarely left her home. She often broke down in public places minutes after leaving her house. She was diagnosed with social anxiety and needed medicine to go out. She finally decided to see a shrink about her debilitating condition. She got better within days and now shops for herself every day.",3.75,3.75,3.25,4,3.5,3.875,2.236774,1.28109,0.061653,0.977984,25.01286,3,2,0.206851,0.910732,0.44206,0.403984,0.332433,0.482235,0.198685,0.276162,0.328578,0.279561,0.342953,0.308685
The man mixed a drink. It tasted very good. His friend asked for one. The man made his friend a drink. His friend gave the drink it's own name.,1.25,2.5,3,2.75,2.125,2.625,3.705772,1.841226,0.24405,0.991504,14.77051,2,2,0.165119,0.203415,0.420254,0.243033,0.934627,0.492443,0.485647,0.206175,0.430724,0.210987,0.236506,0.425916
Sal needed a new car. He had no idea what he wanted. He went to the dealership. He took test drives. Sal now has a better idea.,1,1.25,2.5,2.5,1.75,1.875,2.373812,0.828247,0.174508,0.860085,11.51778,2,1,0.172363,0.442381,0.414152,0.376495,0.61093,0.284857,0.212328,0.316137,0.392123,0.333896,0.333328,0.370682
"Tim had smoked for many Year's. He really wanted to quit! So he bought special gum and patches to help him. It was hard, but he persevered. In a few months he had quit for good!",2.5,1.75,3.25,3.5,2.875,2.625,3.810044,1.603944,0.100781,0.99343,15.98045,3,2,0.186222,0.29382,0.407529,0.534942,0.731854,0.657546,0.32916,0.471795,0.462391,0.50069,0.49024,0.143193
"Gina wanted to marry a rich man. So she frequented a rich neighborhood to attract one. While on the subway to get there, she met Matt. He was poor, but her heart started to beat faster. She gave up her dream to marry a rich man to marry love instead.",5,5,3.5,3.25,4.25,4.125,2.867275,1.463059,0.097346,0.996365,24.01696,3.5,3,0.201641,0.457826,0.403128,0.088869,0.494122,0.165803,0.17587,0.171645,0.237263,0.211736,0.206002,0.240215
Allie went to the drive in. But she got bored. So she took out her phone. But there was no service. She was very annoyed.,2.75,3.25,2.75,2,2.75,2.625,3.015069,1.213576,0.299967,0.734654,8.086597,2,2,0.177648,0.77926,0.386758,0.267096,0.605093,0.014692,0.40228,0.331665,0.470547,0.239558,0.252059,0.288437
"Avery is going to the zoo for the first time today! When she gets to the zoo, she heads to see the bear first. The bear is nowhere to be found! She finds the bear in the monkey cage where he doesn't belong! She watches as the zookeepers carefully get the bear back to his cage!",4.25,4.75,4.25,4,4.25,4.375,2.306081,0.732047,0.111298,2.929621,18.32418,3,3,0.176818,0.181897,0.377609,0.306504,0.923023,0.190284,0.304434,0.694307,0.433575,0.613841,0.442665,0.637422
"Jo was selected to appear on a TV game show. She travelled to Hollywood to appear on the show. Jo played the game but soon found herself losing badly. After the final round, Jo came in last place. Jo was upset she lost, but the experience was very fun and memorable.",2.75,3.25,2,2,2.375,2.625,2.696628,1.397726,0.235198,0.99979,23.98747,3,2,0.172204,0.681908,0.372812,0.144928,0.683773,0.67003,0.570638,0.304459,0.129776,0.130103,0.123536,0.163856
Tom was dating a girl with a twin. One night they tried to pull a trick on him. They switched places to see if he would notice. Tom noticed right away. He wasn't fooled for even a minute.,5,5,4.25,3.25,4.625,4.125,3.595518,1.819067,0.08169,0.99596,17.73148,3,2,0.195142,0.398204,0.371921,0.491868,1.043534,1.00156,0.741502,0.177114,0.084168,0.035533,0.064935,0.215108
Becky and her brother Tim were picking out pumpkins. They were going to carve Jack-O-Lanterns. Becky tried to tell Tim which pumpkin to pick. Tim didn't agree and they started fighting over a large pumpkin. Their parents soon stepped in and decided the big one was theirs.,3.5,3.5,3,2.25,3.25,2.875,2.553194,1.274662,0.1077,0.998429,24.76808,3,2,0.174928,0.097471,0.367846,0.653454,0.275689,0.104566,0.02218,0.262183,0.272571,0.154854,0.168447,0.145467
"I was a Brockton Rox fan. They played minor league baseball in Brockton, MA. I saw them play three times. Once I saw El Guapo, a former Red Sox, pitch. I was sad to see the Rox leave pro baseball.",2,1.25,1.75,2.25,1.875,1.75,3.989374,0.542668,0.076596,0.99615,24.92788,2,2,0.178831,0.227022,0.363008,0.465844,1.301894,0.287199,0.531472,0.253122,0.190084,0.194667,0.188368,0.269726
Jessica was redoing her kitchen. She found some beautiful rugs. She spread them out on her kitchen floor. They were exactly what the room had been missing! She couldn't wait to move on to the rest of the house.,2.75,2.25,3,2.5,2.875,2.375,3.109368,1.644433,0.107752,1.988233,15.25396,2,2,0.172103,0.303064,0.346738,0.028407,1.080986,0.31827,0.24732,0.375377,0.252126,0.313726,0.245252,0.387061
The teacher ran over and turned off the tv. She told us to go back to class. The kids started asking what had happened. She said she wasn't sure but it would be okay. It was years before I understood what we had watched.,4.75,4.5,4,3.75,4.375,4.125,3.486453,0.705911,0.069871,0.85613,17.17216,3,2,0.159569,0.021514,0.342971,0.175294,0.540536,0.068049,0.005643,0.209069,0.358965,0.4072,0.408302,0.253019
